source;network;scenario_line_data;procedure;routing_agg;waiting_time_frequency;gap;time_limit;travel_time_cost_mult;waiting_time_cost_mult;line_operation_cost_mult;cost_repl_freq;cost_repl_line;repl_budget;bypass_multiplier;overdemand_threshold;overdemand_multiplier;num_od;train_capacity;infrastructure_capacity;max_frequency;threads;scenario_infra_id;scenario_prob_id;case_k;case_per_run;case_variants;case_selection;case_p_fail;case_id;case_sweep_row;case_variant_idx;case_edges;case_lines;run_group_id;status_code;status;objective;runtime_s;opt_gap;cost_time;cost_time_base;cost_time_over;cost_bypass;cost_wait;cost_oper;obj_stage1;obj_stage2_exp;repl_cost_freq_exp;repl_cost_path_exp;repl_cost_exp;variant
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;400;50;10;10;16;1050;1050;1;1;5;line_consecutive;0.5;1050;10;0;16-17;2,13;g_000;2;OPTIMAL;168942.69000000003;84.83346605300903;0.0;112461.34000000004;110084.94500000004;2376.3949999999977;6.300000000005471;23048.45;29188.60000000001;80903.82000000004;88038.87;920.0;3318.0;4238.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1057;1057;1;1;5;line_consecutive;0.5;1057;11;2;8-9;3,7;g_000;2;OPTIMAL;164889.97000000003;462.3991141319275;0.0;112773.26999999992;110522.40999999992;2250.859999999999;0.0;22855.899999999987;27980.800000000003;81773.73999999999;83116.22999999994;0.0;1280.0;1280.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1057;1057;1;1;5;line_consecutive;0.5;1057;11;2;8-9;3,7;g_000;2;OPTIMAL;165418.85499999995;784.1612598896027;0.0;113457.77499999997;110529.45499999996;2928.319999999998;0.0;22882.279999999988;27368.800000000007;81633.64999999988;83785.20499999987;430.00000000000006;1280.0;1710.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1057;1057;1;1;5;line_consecutive;0.5;1057;11;2;8-9;3,7;g_000;2;OPTIMAL;167377.0599999999;164.15798592567444;0.0;113505.29999999992;110551.96499999992;2953.334999999998;0.0;22656.959999999995;27304.800000000003;81479.82999999993;85897.22999999998;1350.0000000000002;2560.0;3910.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;450;50;10;10;16;1057;1057;1;1;5;line_consecutive;0.5;1057;11;2;8-9;3,7;g_000;2;OPTIMAL;167377.05999999994;152.874418258667;0.0;113497.63999999996;110548.07499999995;2949.564999999998;0.0;22664.61999999999;27304.800000000003;81479.82999999996;85897.22999999998;1350.0000000000002;2560.0;3910.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1047;1047;1;1;5;line_consecutive;0.5;1047;9;2;3-4;3,4;g_000;2;OPTIMAL;162661.44;398.6765501499176;0.0;109303.91000000008;104761.94000000008;4541.9699999999975;0.0;21613.130000000005;26904.4;77501.80500000002;85159.63500000001;1080.0;3760.0;4840.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;integrated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1047;1047;1;1;5;line_consecutive;0.5;1047;9;2;3-4;3,4;g_000;2;OPTIMAL;163940.82500000007;997.33016705513;3.017949420252538e-15;108922.75500000006;103653.71000000004;5269.044999999998;125.60000000000016;21390.07;26502.4;77461.52999999998;86479.29500000013;1080.0;5920.0;7000.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;separated;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1047;1047;1;1;5;line_consecutive;0.5;1047;9;2;3-4;3,4;g_000;2;OPTIMAL;166075.04500000004;271.320387840271;0.0;108502.67500000002;104510.02000000002;3992.654999999996;0.0;21551.97;25990.4;76526.03000000004;89549.01500000001;4110.0;5920.0;10030.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;eev;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;350;50;10;10;16;1047;1047;1;1;5;line_consecutive;0.5;1047;9;2;3-4;3,4;g_000;2;OPTIMAL;165665.46000000002;175.94137001037598;0.0;110035.85;104771.53500000002;5264.314999999996;125.59999999999462;21365.61;25738.4;77189.21;88476.25;1360.0;7040.0;8400.0;flat (waiting_freq=False)
lintim;SiouxFalls;SiouxFalls;ws;True;False;1e-05;6000;1;2;20;50;200;-5;50;0.75;2;50;50;10;10;16;1013;1013;1;1;5;line_consecutive;0.5;1013;2;3;7-8;3,7,11;g_000;2;OPTIMAL;46353.23999999991;115.69374990463255;0.0;28188.799999999923;27394.96;793.8399999999205;0.0;6874.039999999999;11290.399999999998;23176.61999999999;23176.61999999991;0.0;0.0;0.0;flat (waiting_freq=False)
